Trait / Spectrum,value type,Basic Effect,For Actors...,For Writers...,For Newspeople...,For Showrunners...,For Executive Producers...,Rating Scale notes,Engine Rules
Acting (ACT),"numerical, 0-100 (low-high)",How talented a person is at performing.,Base Skill (Actors). Determines performance ability,n/a unless writer also an actor,N/A unless a personality correspondent.,N/A (Genre tone fit only).,N/A.,"90-100 is amazing (with 95+ being generational talent); 80-89 is great; 70-79 good; 60-69 is average; 50-59 is below average; less than 50 is poor, but with a floor of 20, which means no known skill possessed.",Ignored for non-performing roles. Computation of The Floor [Logic: You cannot be a high-level professional without a baseline of human/creative talent]: Min of (COM + DRM) = (Highest Level I Skill) / 2. Computation of the Ceiling [Logic: You cannot express more creative talent than your technical skills can physically support]: The Ceiling: Max of (COM + DRM) = (Highest Level I Skill + 20
Writing (WRI),"numerical, 0-100 (low-high)",How talented a person is at creating scripts for the screen.,n/a unless also a writer,Base Skill (Writers). Determines script quality.,N/A.,N/A (Genre tone fit only).,N/A.,"90-100 is amazing (with 95+ being generational talent); 80-89 is great; 70-79 good; 60-69 is average; 50-59 is below average; less than 50 is poor, but with a floor of 20, which means no known skill possessed.",Ignored for non-writing roles. Computation of The Floor [Logic: You cannot be a high-level professional without a baseline of human/creative talent]: Min of (COM + DRM) = (Highest Level I Skill) / 2. Computation of the Ceiling [Logic: You cannot express more creative talent than your technical skills can physically support]: The Ceiling: Max of (COM + DRM) = (Highest Level I Skill + 20
Broadcasting (BCN),"numerical, 0-100 (low-high)",How talented a person is at conveying news or presenting at a show. Making a teleprompter seem natural!,Indicates actor's ability to host awards shows or other events,N/A unless writer also has acting score,Base Skill. Determines live flow and authority.,N/A.,N/A.,"90-100 is amazing (with 95+ being generational talent); 80-89 is great; 70-79 good; 60-69 is average; 50-59 is below average; less than 50 is poor, but with a floor of 20, which means no known skill possessed.",Determines success of News and Variety formats. 
Logistical Command (LOG),"numerical, 0-100 (low-high)","The ability to smooth over egos and conflicts, get peak efficiency out of production costs, and avoid scandals and show quality-damaging distraction.",N/A unless a potential Producer.,N/A unless a potential Producer. A Head writer might get a small multiplier from this score.,Secondary Skill. Used for News Directors.,"Base Skill. Management of the ""Room"" and Vision.",Base Skill. Management of Money and Schedule.,"90-100 is amazing (with 95+ being generational talent); 80-89 is great; 70-79 good; 60-69 is average; 50-59 is below average; less than 50 is poor, but with a floor of 20, which means no known skill possessed.",--
Comedy (COM),"numerical, 0-100 (low-high)",The inner understanding of what's funny and ironic that can be expressed throught Writing or Acting abilities.,"Talent. Timing, irony, and ""The Funny Bone.""",Writer's ability to write comedy shows.,N/A (Optional flair; 0 impact on News quality).,Genre Match. Determines ability to lead a Drama.,Potential flair; no impact on daily production.,"90-100 is amazing (with 95+ being generational talent); 80-89 is great; 70-79 good; 60-69 is average; 50-59 is below average; less than 50 is poor, but with a floor of 20, which means no known skill possessed.",Computation of The Floor [Logic: You cannot be a high-level professional without a baseline of human/creative talent]: Min of (COM + DRM) = (Highest Level I Skill) / 2. Computation of the Ceiling [Logic: You cannot express more creative talent than your technical skills can physically support]: The Ceiling: Max of (COM + DRM) = (Highest Level I Skill + 20
Drama (DRM),"numerical, 0-100 (low-high)",The inner understanding of drama and emotional depth that can be expressed throught Writing or Acting abilities.,"Talent. Emotional depth and ""The Gravitas.""",Writers ability to write drama shows,N/A (Optional flair; 0 impact on News quality).,Genre Match. Determines ability to lead a Drama.,Potential flair; no impact on daily production.,"90-100 is amazing (with 95+ being generational talent); 80-89 is great; 70-79 good; 60-69 is average; 50-59 is below average; less than 50 is poor, but with a floor of 20, which means no known skill possessed.",Computation of The Floor [Logic: You cannot be a high-level professional without a baseline of human/creative talent]: Min of (COM + DRM) = (Highest Level I Skill) / 2. Computation of the Ceiling [Logic: You cannot express more creative talent than your technical skills can physically support]: The Ceiling: Max of (COM + DRM) = (Highest Level I Skill + 20
"The ""Distance"" Spectrum: Relatability <-> Authority","Spectrum from 0 (low distance, relatable neighbor) to 100 (high distance, iconic authoritarian)","How relateablity a person is (from being like a reliable neighbor or boy next door to being an icon so unapproachable, they are simply 'not like us', which can affect their suitability for genres and subgenres, and potentially for personality-based triggers as well.","Determines ""Casting Archetype."" A 100-rated actor plays kings, CEOs, and superheroes (The Icon). A 0-rated actor plays the best friend, the struggling parent, or the underdog (The Neighbor).","Defines the ""Dialogue Class."" 100-rated writing is elevated, sophisticated, and perhaps ""smarter"" than the audience (think The West Wing). 0-rated writing is colloquial, warm, and grounded.",An evening news anchor needs Authority to be trusted with a crisis; a morning host needs Relatability to be invited into the kitchen during breakfast.,"Will affect the genre match of their show, as well as affect their personality.","Will affect the genre match of their show, as well as affect their personality.","0–20: The Pure Neighbor. Maximum accessibility; zero distance from audience. 45–55: The Balanced Pro. Professional stature with human warmth. 80–100: The Absolute Icon. Maximum authority and distance; ""untouchable"" stature.",--
"The ""Worldview"" Spectrum: Grit <-> Earnestness","Spectrum from 0 (low worldview, the anti-hero) to 100 (high worldview, the idealist)","How a person seems to view the world (from being a cynical antihero to an idealist), which can affect their suitability for genres and subgenres, and potentially for personality-based triggers as well.",Does the performance feel cynical and weary (The Anti-Hero) or hopeful and sincere (The Idealist)?,"Determines the ""Moral Universe."" 0-rated scripts have shades of gray and harsh consequences (HBO-style). 100-rated scripts have clear heroes and emotional payoffs (Classic Sitcom/Network Drama).",The difference between Investigative Journalist (0) vs. Human Interest Reporter (100).,"Will affect the genre match of their show, as well as affect their personality.","Will affect the genre match of their show, as well as affect their personality.","0–20: The Anti-Hero. Cynical, weary, and dark; fits ""Prestige Cable"" vibes. 45–55: The Realist. Pragmatic and balanced worldview. 80–100: The Idealist. Sincere, hopeful, and bright; fits ""Network Primetime"" vibes.",--
"The ""Energy Density"" Spectrum: Levity <-> Intensity","Spectrum from 0 (low energy density, buoyant) to 100 (high density, piercing)","How dense the energy of a person is (from light and buoyant to gruff and piercing), which can affect their suitability for genres and subgenres, and potentially for personality-based triggers as well.","100-rated actors have a ""stare"" that cuts through the screen (think 2008-era Don Draper). 0-rated actors have ""bouncy"" energy that keeps the scene moving and light.","100-rated writing is dense, heavy, and demands 100% focus. 0-rated writing is breezy, easy to digest, and often uses ""Patter"" or quick-fire gags.",Crisis/War Correspondent (100) vs. Weather/Lifestyle Personality (0).,"Will affect the genre match of their show, as well as affect their personality.","Will affect the genre match of their show, as well as affect their personality.","0–20: The Buoyant. ""Bouncy,"" light, and energetic; keeps scenes moving. 45–55: The Steady Pro. Controlled and reliable energy. 80–100: The Piercing. Heavy, dense, and ""staring""; commands total attention.",--
"The ""Vulnerability"" Spectrum: Enigma <-> Transparency","Spectrum from 0 (low transparency, the mystery) to 100 (high transparenct, the Open Book)","How vulnerable a person is (from being an unknown enigma to an open book), which can affect their suitability for genres and subgenres, and potentially for personality-based triggers as well.","0-rated actors are ""cool"" and guarded; the audience wonders what they're thinking. 100-rated actors wear their hearts on their sleeves; every emotion is visible and shared.","Defines ""Plot Clarity."" 0-rated writers love ""Mystery Boxes"" and subverting expectations. 100-rated writers are character-first and emotionally direct.",The Objective Reporter (0) vs. The Emotional Pundit (100).,"Will affect the genre match of their show, as well as affect their personality.","Will affect the genre match of their show, as well as affect their personality.","0–20: The Mystery. Guarded, ""cool,"" and internal; audience wonders what they think. 45–55: The Accessible Pro. Open enough to be trusted, but retains professional boundaries. 80–100: The Open Book. Heart on sleeve; maximum vulnerability and shared emotion.",--
